Start,End,Open,High,Low,Close,Volume, Market Cap
2018-03-08,2018-03-09,756.6194713,775.1569194,698.5343445,705.9533761,2041919653,72559779548
2018-03-07,2018-03-08,815.1154029,825.4800133,737.5134586,756.5463764,1844276762,76937086771
2018-03-06,2018-03-07,850.7018686,853.60028,810.3375778,815.1014243,1786509440,82179657609
2018-03-05,2018-03-06,869.6897969,869.6897969,850.876563,850.8934663,1656354184,84104815392
2018-03-04,2018-03-05,858.4276832,869.760582,842.7407318,868.1215518,1492872170,83709250073
2018-03-03,2018-03-04,860.2012392,868.0737179,856.4416632,858.3013982,1632099938,84223819168
2018-03-02,2018-03-03,869.5041302,875.2082969,854.9120216,860.9716954,1811001206,84995818253
2018-03-01,2018-03-02,860.1726144,881.8217552,856.9717366,870.8585953,1769923869,84780711927
2018-02-28,2018-03-01,880.6274373,891.6400184,858.3695422,859.1262256,1898060489,85551712611
2018-02-27,2018-02-28,872.8739879,899.0613649,871.1568189,881.0071706,1965809864,86174312413
2018-02-26,2018-02-27,854.1196712,882.9952858,845.9084096,871.9850037,1696629255,84139609462
2018-02-25,2018-02-26,846.5668205,859.1505201,826.6519109,851.6325706,1630742939,82174580744
2018-02-24,2018-02-25,869.8706765,884.0737957,825.2153695,845.9865377,2011245114,82621666703
2018-02-23,2018-02-24,814.0793252,890.6743765,797.7213565,870.4109443,2181355870,83269572477
2018-02-22,2018-02-23,855.7193544,880.3810723,804.3757088,815.0134398,2128240173,81519207362
2018-02-21,2018-02-22,900.8305988,917.7256326,837.3970232,855.0879925,2479950363,85459664653
2018-02-20,2018-02-21,950.9943248,977.2781239,900.6417594,900.6417594,2135335326,92072133898
2018-02-19,2018-02-20,925.7195843,961.0218136,925.7195843,950.7482285,2106898364,92082869464
2018-02-18,2018-02-19,978.3967664,986.6190944,921.3776484,927.8115174,2349122738,92489821189
2018-02-17,2018-02-18,945.4483992,989.2159904,943.5091211,977.069945,2228157491,94459055857
2018-02-16,2018-02-17,931.637909,950.6743487,918.142296,946.1174857,2508533583,91629441145
2018-02-15,2018-02-16,923.5140468,952.2220675,912.3639288,933.8695146,2732370944,91009939562
2018-02-14,2018-02-15,845.4571577,924.5274149,845.4571577,923.9081691,2134083619,85883544661
2018-02-13,2018-02-14,867.239642,868.7066443,829.0132275,846.1757538,1987900197,82857203963
2018-02-12,2018-02-13,816.0073292,875.7033237,816.0073292,864.7920045,2118287754,83697436959
2018-02-11,2018-02-12,862.345976,862.345976,789.8746381,816.0665727,2406671543,80594634707
2018-02-10,2018-02-11,879.4469254,912.3396347,832.0169297,862.1642641,2495208519,85346564647
2018-02-09,2018-02-10,819.5478097,880.2117523,788.9204776,880.2117523,2565498561,81268994786
2018-02-08,2018-02-09,754.5994669,849.9338053,754.5994669,817.9295906,3371912285,79653583928
2018-02-07,2018-02-08,789.0515745,854.6725864,723.1917003,758.3228417,4732123953,77676104043
2018-02-06,2018-02-07,696.9475066,796.6628872,571.2223434,794.1543898,4727019444,67027780361
2018-02-05,2018-02-06,830.2723264,856.617893,640.6806432,696.360327,3125891383,75324311475
2018-02-04,2018-02-05,967.4971229,968.1560377,803.7197218,835.6573021,2431110905,87858922814
2018-02-03,2018-02-04,914.7191595,994.6758374,843.6228107,964.6045976,4337334282,91464697866
2018-02-02,2018-02-03,1033.546255,1033.546255,747.4807641,913.6793501,5288020795,88918107736
2018-02-01,2018-02-02,1124.948161,1163.720598,976.3359354,1038.560899,3694678174,106981319256
2018-01-31,2018-02-01,1074.636447,1128.34985,1034.864135,1120.579015,3844219449,106941526239
2018-01-30,2018-01-31,1188.048324,1188.787794,1057.108174,1066.226766,3143322962,110856165309
2018-01-29,2018-01-30,1251.045267,1266.07115,1174.972988,1186.785054,3652801746,116765597414
2018-01-28,2018-01-29,1116.992818,1259.771011,1114.00739,1251.41421,3730353498,116578858676
2018-01-27,2018-01-28,1056.807483,1123.816751,1044.363341,1113.461166,2805165433,105012094521
2018-01-26,2018-01-27,1058.097005,1088.156843,998.1494681,1056.904941,3416414488,101256392029
2018-01-25,2018-01-26,1070.61438,1113.47062,1043.225244,1059.909302,3872270582,103784135903
2018-01-24,2018-01-25,989.8851715,989.8851715,989.8851715,989.8851715,3326794201,96248293449
2018-01-23,2018-01-24,1011.51369,1031.321096,935.2758296,986.8450805,3540461627,95227730500
2018-01-22,2018-01-23,1062.146247,1097.242487,940.6760909,1012.746704,3087113744,100605036203
2018-01-21,2018-01-22,1179.064123,1180.23492,1028.288425,1053.632457,3103783684,104201408846
2018-01-20,2018-01-21,1048.856592,1224.232733,1048.856592,1177.581669,3631497179,110421718148
2018-01-19,2018-01-20,1027.729769,1115.5046,1002.070123,1044.495862,4563797795,101395806116
2018-01-18,2018-01-19,1033.767215,1105.051676,968.5650456,1038.139892,7336154440,100311985325
2018-01-17,2018-01-18,1058.820037,1133.199266,787.687017,1028.428857,7432334001,91804094104
2018-01-16,2018-01-17,1325.911211,1384.761254,886.8578161,1068.495119,5362532488,108783427112
2018-01-15,2018-01-16,1404.384052,1458.2588,1323.525726,1324.134949,4527897264,128918181480
2018-01-14,2018-01-15,1456.083553,1469.17895,1318.136921,1404.053681,5313428393,129530790694
2018-01-13,2018-01-14,1352.23615,1570.1262,1349.752411,1456.138411,5198392804,129467780174
2018-01-12,2018-01-13,1229.485118,1369.779602,1173.817226,1356.513746,5779217503,118384988390
2018-01-11,2018-01-12,1318.954092,1422.592535,1193.430968,1218.569811,8111547057,121293284042
2018-01-10,2018-01-11,1226.395325,1527.514576,1207.010848,1316.241353,9428820179,142752790812
2018-01-09,2018-01-10,1198.36305,1489.064909,1169.247366,1221.757855,7229324494,118181224245
2018-01-08,2018-01-09,1118.410763,1352.348289,1044.9034,1200.982949,6782505639,121287624024
2018-01-07,2018-01-08,1003.325116,1111.24268,1003.325116,1111.24268,4332726425,108023192710
2018-01-06,2018-01-07,970.141502,1011.988589,961.9424243,1004.694291,4502973879,98888053670
2018-01-05,2018-01-06,947.3851113,1031.859349,937.7461258,967.7084946,5455871448,97913643866
2018-01-04,2018-01-05,960.6977037,1169.402561,921.2222297,952.0655487,4892043151,93003693843
2018-01-03,2018-01-04,884.3172432,972.7341695,861.5163277,963.6960502,4042826274,87498992125
2018-01-02,2018-01-03,774.7239453,939.8673388,774.7239453,881.3646216,3723596932,84367326260
2018-01-01,2018-01-02,757.4074676,783.8883357,733.3384395,772.5061182,1947147408,73114174256
2017-12-31,2018-01-01,695.3329301,759.31671,691.5363307,756.9122929,2147375827,71192665954
2017-12-30,2017-12-31,754.395698,779.6870927,666.2011373,699.268858,2313983303,68305716582
2017-12-29,2017-12-30,736.2813458,777.5102698,732.8747407,753.8260507,1977761701,72868475677
2017-12-28,2017-12-29,764.8895401,766.7237107,700.8593405,734.7020144,1873135245,70218777707
2017-12-27,2017-12-28,779.3066746,818.7799919,713.2997867,765.8395208,1659023080,70740373570
2017-12-26,2017-12-27,763.7583538,813.499973,744.752694,777.9545928,1899995300,74535717541
2017-12-25,2017-12-26,671.1211722,829.0643945,671.1211722,764.8873338,1940737822,74931706477
2017-12-24,2017-12-25,711.7885347,749.2216928,594.0109146,667.4999392,1700431700,63389488963
2017-12-23,2017-12-24,672.6736638,782.5143954,672.6736638,708.3814096,3121710908,70834381475
2017-12-22,2017-12-23,813.4377701,822.1370427,525.4605155,667.5561375,3343845530,66864909271
2017-12-21,2017-12-22,818.982567,878.4296394,778.4339273,813.2358856,2967482231,80504172745
2017-12-20,2017-12-21,819.8104871,845.1922145,742.130912,818.4093856,3392805989,78601072341
2017-12-19,2017-12-20,796.9211098,875.5386216,778.1619291,819.7841878,3373795508,79292702706
2017-12-18,2017-12-19,721.4648605,798.3628619,688.0105404,797.5246904,1943635717,70857607367
2017-12-17,2017-12-18,694.0047025,730.6289966,693.8287426,722.6964356,1699781095,69405520892
2017-12-16,2017-12-17,683.9973466,713.451176,681.5168139,693.1872424,1627635766,67200313591
2017-12-15,2017-12-16,695.2374776,696.4134884,635.1963061,683.2196677,2512050117,64810240752
2017-12-14,2017-12-15,697.6168086,746.845674,664.1659626,695.3876536,3448637143,68372974142
2017-12-13,2017-12-14,645.2283399,728.205573,591.1264708,697.2883763,3881246870,63702142462
2017-12-12,2017-12-13,513.4773106,651.3343417,501.743127,646.2644555,2560562898,54684241197
2017-12-11,2017-12-12,439.0352449,514.7133524,439.0352449,514.7133524,1010179126,45327626981
2017-12-10,2017-12-11,474.1242537,474.1242537,425.8526515,439.4621575,1213610122,42799339117
2017-12-09,2017-12-10,454.7343892,500.4158265,451.2960431,473.015527,1609258306,45963724197
2017-12-08,2017-12-09,432.6769326,465.3156165,424.1637439,454.7134864,1690967209,42909335632
2017-12-07,2017-12-08,431.0715345,441.0333785,414.4857796,432.2922937,1609865406,40843566904
2017-12-06,2017-12-07,463.4315008,464.6704704,420.398632,431.4522523,1225234739,43018032248
2017-12-05,2017-12-06,470.6727377,472.8076632,458.8065783,464.6695611,812164216.9,44890969472
2017-12-04,2017-12-05,466.9278263,475.1480959,452.6344888,469.8579927,769163454.9,44729961231
2017-12-03,2017-12-04,465.176425,482.8853853,453.2364368,466.4838351,605733711.8,45251387321
2017-12-02,2017-12-03,466.7018726,477.3283048,457.965814,465.1956923,810598782.6,45013132612
2017-12-01,2017-12-02,446.6874668,473.4614627,428.9734818,465.688648,1071946883,43070453301
2017-11-30,2017-12-01,431.5058624,465.2405866,403.0995851,447.8890083,1803252298,42094229049
2017-11-29,2017-11-30,476.6754843,524.3562851,427.2330015,427.2330015,1497273127,45938028873
2017-11-28,2017-11-29,482.1388036,484.8409747,466.8261716,475.9032986,964205966.1,45735783895
2017-11-27,2017-11-28,472.6512566,494.821967,469.0356633,482.1265829,1035827091,46063949302
2017-11-26,2017-11-27,467.5792155,473.6061108,453.9059272,472.5464111,924293827.9,44263277098
2017-11-25,2017-11-26,474.8844271,484.5268704,462.1212459,467.6857901,1700147884,45236443742
2017-11-24,2017-11-25,410.6821519,479.25236,403.9708198,473.3986706,1598152348,41753591397
2017-11-23,2017-11-24,379.2281447,426.461496,374.9127263,411.1851229,1032364428,38419748818
2017-11-22,2017-11-23,360.7748725,379.375185,360.7748725,378.8306112,553333595.1,35109142514
2017-11-21,2017-11-22,365.8708703,370.8755825,350.9781767,360.6791814,787133843.5,35059568070
